Date,Daily Rainfall Total (mm),Highest 30-min Rainfall (mm),Highest 60-min Rainfall (mm),Highest 120-min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
4 Oct,1.4,0.8,1.4,1.4,25.7,28.2,23.5,6.5,29.9
5 Oct,0.2,0.2,0.2,0.2,27.4,32.1,24.5,5.8,24.1
6 Oct,29.0,15.6,18.0,26.8,28.0,32.6,24.4,5.8,29.5
7 Oct,10.2,7.8,8.0,8.0,27.3,33.2,24.6,5.0,34.2
8 Oct,24.4,12.6,13.4,13.4,26.8,31.4,24.3,5.4,27.0
9 Oct,18.6,13.6,15.6,18.4,27.8,32.5,24.1,6.5,30.6
10 Oct,8.8,3.4,4.4,4.6,27.4,31.5,24.1,7.6,32.4
11 Oct,4.8,4.2,4.6,4.6,27.8,32.3,22.8,6.5,35.6
12 Oct,39.4,16.0,18.6,20.2,26.8,29.0,23.2,5.4,29.5
13 Oct,1.2,0.4,0.6,0.8,27.0,30.9,23.9,5.0,30.6
14 Oct,0.0,0.0,0.0,0.0,29.1,32.3,26.8,5.8,29.5
15 Oct,0.0,0.0,0.0,0.0,30.0,34.2,27.2,4.3,24.1
16 Oct,0.0,0.0,0.0,0.0,28.6,32.4,26.2,6.1,38.2
17 Oct,0.0,0.0,0.0,0.0,29.9,34.2,27.4,6.8,28.1
18 Oct,0.0,0.0,0.0,0.0,30.2,34.3,27.6,6.1,29.9
19 Oct,0.0,0.0,0.0,0.0,30.0,33.3,27.7,4.7,22.3
20 Oct,0.0,0.0,0.0,0.0,29.8,33.9,27.1,5.0,27.4
21 Oct,18.4,18.4,18.4,18.4,29.4,34.0,24.7,5.4,32.8
22 Oct,0.0,0.0,0.0,0.0,28.5,31.0,26.4,6.8,33.8
23 Oct,1.4,0.6,0.8,1.4,28.3,30.9,25.1,5.0,28.8
24 Oct,0.0,0.0,0.0,0.0,28.0,30.4,26.7,4.0,25.6
25 Oct,0.8,0.6,0.6,0.6,28.1,33.7,25.7,4.0,34.2
26 Oct,0.0,0.0,0.0,0.0,28.0,31.9,26.2,5.4,31.7
27 Oct,8.6,7.2,7.2,8.6,27.5,30.1,25.4,4.0,21.2
28 Oct,0.0,0.0,0.0,0.0,28.6,33.1,25.6,6.5,37.1
29 Oct,1.0,1.0,1.0,1.0,26.8,31.0,25.5,4.3,25.9
30 Oct,59.4,35.0,52.0,55.4,26.4,29.2,24.0,4.7,33.5
31 Oct,0.8,0.8,0.8,0.8,25.9,27.7,23.3,5.0,41.8
1 Sep,0.0,0.0,0.0,0.0,28.4,31.2,26.9,10.8,32.0
2 Sep,0.0,0.0,0.0,0.0,28.8,32.6,27.0,11.2,35.6
3 Sep,0.0,0.0,0.0,0.0,28.6,31.6,27.1,13.0,40.0
4 Sep,0.0,0.0,0.0,0.0,28.4,31.6,27.1,8.3,32.8
5 Sep,8.4,8.2,8.2,8.2,28.2,31.0,24.9,9.0,40.0
6 Sep,11.4,8.6,8.6,8.6,26.8,28.9,24.5,6.5,47.2
7 Sep,0.2,0.2,0.2,0.2,28.1,32.6,25.5,6.8,27.7
8 Sep,0.2,0.2,0.2,0.2,27.6,31.9,25.6,9.0,38.5
9 Sep,1.6,1.6,1.6,1.6,27.7,32.4,24.4,5.8,34.9
10 Sep,4.2,3.8,3.8,3.8,27.6,30.4,25.2,6.1,47.2
11 Sep,15.0,12.0,12.0,12.4,26.6,30.5,23.4,4.7,33.5
12 Sep,0.0,0.0,0.0,0.0,28.6,32.5,25.9,6.5,24.1
13 Sep,0.0,0.0,0.0,0.0,29.0,33.2,27.3,9.0,28.4
14 Sep,0.0,0.0,0.0,0.0,28.2,31.2,27.2,8.3,32.0
15 Sep,26.0,19.8,21.0,21.0,27.2,29.2,24.1,5.0,45.0
16 Sep,10.0,7.8,9.0,9.2,27.1,30.4,23.7,7.2,30.6
17 Sep,4.6,4.0,4.2,4.4,28.1,33.0,24.4,10.1,43.2
21 Sep,8.4,2.4,3.4,6.0,26.3,30.0,23.3,6.5,45.4
22 Sep,0.4,0.4,0.4,0.4,28.5,32.4,26.8,7.9,40.7
23 Sep,5.0,5.0,5.0,5.0,28.6,32.4,26.2,9.0,37.8
24 Sep,7.2,5.6,6.8,7.2,27.6,31.3,23.4,7.6,39.2
25 Sep,0.0,0.0,0.0,0.0,28.8,32.1,27.1,7.9,28.8
26 Sep,14.4,12.0,13.0,13.0,27.4,32.1,23.0,5.8,36.0
27 Sep,0.2,0.2,0.2,0.2,27.6,32.1,25.4,4.0,27.0
28 Sep,0.0,0.0,0.0,0.0,28.6,32.9,26.6,5.0,26.6
29 Sep,11.6,8.0,10.0,10.4,27.4,30.8,23.3,5.0,40.0
30 Sep,0.2,0.2,0.2,0.2,27.4,29.8,25.4,6.1,38.2
5 Aug,0.6,0.6,0.6,0.6,28.6,31.5,27.1,11.9,36.4
6 Aug,11.6,5.4,5.4,10.4,28.1,32.4,25.0,9.4,39.2
7 Aug,0.2,0.2,0.2,0.2,27.9,29.5,27.0,9.4,37.4
8 Aug,1.0,1.0,1.0,1.0,27.2,30.1,25.6,7.9,46.4
9 Aug,1.4,1.0,1.2,1.2,27.1,30.2,24.5,8.6,42.5
10 Aug,0.0,0.0,0.0,0.0,28.1,31.3,26.1,6.5,32.4
11 Aug,43.6,30.4,35.2,35.2,26.5,28.3,22.5,5.4,43.9
12 Aug,3.2,1.4,1.4,1.4,26.0,29.4,23.8,5.0,37.8
13 Aug,1.2,1.0,1.0,1.0,26.6,28.6,25.4,6.1,24.8
14 Aug,0.0,0.0,0.0,0.0,27.7,30.5,25.9,7.9,35.3
15 Aug,1.6,1.6,1.6,1.6,26.6,28.5,23.5,6.1,42.1
16 Aug,0.0,0.0,0.0,0.0,27.8,32.0,25.8,6.5,25.6
17 Aug,27.8,13.8,17.0,21.0,26.6,31.3,23.0,10.1,40.3
18 Aug,24.5,20.0,20.0,20.0,27.3,30.9,24.8,7.9,33.5
19 Aug,17.5,17.5,17.5,17.5,27.9,32.5,25.5,10.4,40.0
20 Aug,0.5,0.5,0.5,0.5,28.3,31.5,26.9,10.4,30.2
21 Aug,4.5,3.5,3.5,3.5,28.3,32.3,25.7,8.6,39.2
22 Aug,0.0,0.0,0.0,0.0,27.0,28.8,25.4,10.1,36.0
23 Aug,0.0,0.0,0.0,0.0,28.3,31.6,27.0,10.1,44.6
24 Aug,0.0,0.0,0.0,0.0,28.4,31.0,27.1,9.4,36.7
25 Aug,0.0,0.0,0.0,0.0,28.0,30.8,25.9,9.4,36.7
26 Aug,0.0,0.0,0.0,0.0,28.4,32.4,26.8,9.4,32.0
27 Aug,20.8,19.0,20.2,20.4,27.0,30.2,23.3,9.0,51.8
28 Aug,2.6,2.6,2.6,2.6,27.8,30.2,25.5,7.9,32.4
29 Aug,0.6,0.4,0.6,0.6,26.6,29.7,24.7,6.1,31.3
30 Aug,0.0,0.0,0.0,0.0,27.7,31.6,25.6,5.8,26.3
31 Aug,0.0,0.0,0.0,0.0,28.6,32.3,27.0,10.1,34.9
1 Jun,6.8,2.4,4.2,5.8,27.4,31.8,24.0,6.8,29.5
2 Jun,0.0,0.0,0.0,0.0,28.7,33.4,27.3,7.9,25.2
3 Jun,0.0,0.0,0.0,0.0,29.4,33.2,27.6,8.3,32.4
4 Jun,0.0,0.0,0.0,0.0,29.7,33.0,28.0,9.7,36.7
5 Jun,0.0,0.0,0.0,0.0,29.5,32.4,27.9,9.0,30.6
6 Jun,0.0,0.0,0.0,0.0,29.4,33.2,27.9,9.0,32.4
7 Jun,0.0,0.0,0.0,0.0,29.4,33.6,27.6,9.7,31.0
8 Jun,0.2,0.2,0.2,0.2,29.2,33.2,27.8,11.5,31.3
9 Jun,0.0,0.0,0.0,0.0,29.4,33.1,27.7,10.1,31.3
10 Jun,13.2,9.0,9.0,9.2,28.1,32.8,24.0,8.3,44.3
11 Jun,0.0,0.0,0.0,0.0,27.6,31.1,24.9,7.9,36.4
12 Jun,0.0,0.0,0.0,0.0,29.0,32.6,27.5,7.9,27.7
13 Jun,0.0,0.0,0.0,0.0,29.1,32.6,26.9,9.0,32.4
14 Jun,27.2,17.8,26.6,27.0,27.7,31.1,23.3,6.5,43.9
15 Jun,0.0,0.0,0.0,0.0,29.0,33.4,26.5,6.8,30.6
16 Jun,0.2,0.2,0.2,0.2,28.4,30.9,25.7,6.5,29.2
17 Jun,0.0,0.0,0.0,0.0,29.1,33.1,26.8,7.2,27.4
18 Jun,29.0,15.0,17.0,21.0,26.6,29.9,23.1,6.5,65.5
19 Jun,0.0,0.0,0.0,0.0,27.6,30.6,24.3,9.0,36.0
20 Jun,0.0,0.0,0.0,0.0,29.0,32.8,26.2,5.8,26.3
21 Jun,0.0,0.0,0.0,0.0,28.5,31.1,27.0,7.9,30.2
22 Jun,0.0,0.0,0.0,0.0,28.7,31.2,27.5,7.2,29.2
23 Jun,23.6,23.4,23.4,23.4,26.6,29.0,21.8,6.8,67.7
24 Jun,0.0,0.0,0.0,0.0,28.3,31.2,25.9,6.5,27.0
25 Jun,25.4,19.0,24.4,25.2,27.1,28.9,23.2,5.0,45.4
6 May,3.8,2.4,2.4,2.4,28.1,31.6,25.0,5.8,36.0
7 May,0.0,0.0,0.0,0.0,28.2,30.8,25.9,4.3,30.2
8 May,0.0,0.0,0.0,0.0,28.3,32.1,25.6,6.5,37.1
9 May,0.0,0.0,0.0,0.0,29.3,33.0,26.9,8.6,37.4
10 May,3.6,2.0,2.0,2.0,27.4,29.9,25.6,5.4,31.0
11 May,0.0,0.0,0.0,0.0,27.7,31.1,25.0,7.9,29.2
12 May,52.6,25.6,31.2,42.0,27.4,29.8,24.4,5.8,27.0
13 May,0.2,0.2,0.2,0.2,28.3,31.1,27.1,7.2,35.6
14 May,0.0,0.0,0.0,0.0,29.0,33.7,27.4,9.4,30.6
15 May,8.4,5.4,6.2,6.8,27.7,30.8,25.3,7.6,36.4
16 May,0.4,0.2,0.2,0.4,28.3,31.8,26.9,8.6,37.1
17 May,0.0,0.0,0.0,0.0,29.6,33.7,27.8,10.1,31.3
18 May,0.4,0.4,0.4,0.4,28.8,32.5,25.6,9.7,37.4
19 May,0.0,0.0,0.0,0.0,28.8,31.5,27.5,8.3,41.4
20 May,0.0,0.0,0.0,0.0,29.4,32.6,28.1,7.9,32.8
21 May,5.0,1.6,2.6,4.4,28.2,31.8,25.1,9.0,47.2
22 May,24.8,22.6,24.2,24.2,27.8,30.9,22.9,8.6,37.4
23 May,0.0,0.0,0.0,0.0,29.1,32.6,26.7,9.0,34.2
24 May,31.8,14.0,21.8,25.2,26.0,28.8,22.8,7.6,41.4
25 May,0.2,0.2,0.2,0.2,27.8,31.4,25.3,7.2,32.4
26 May,26.6,7.4,10.8,12.8,26.8,31.4,23.6,7.9,54.7
27 May,0.2,0.2,0.2,0.2,28.2,31.9,25.7,6.8,30.2
28 May,0.0,0.0,0.0,0.0,28.7,31.0,27.6,9.0,27.4
29 May,0.2,0.2,0.2,0.2,29.0,32.4,27.8,9.4,30.6
30 May,34.2,16.0,24.0,25.0,26.4,28.7,23.1,5.4,43.2
31 May,25.8,10.8,13.2,14.0,28.1,33.2,24.0,5.8,37.1
1 Apr,11.0,9.2,9.6,10.0,26.4,31.0,24.4,4.0,47.2
2 Apr,0.0,0.0,0.0,0.0,27.3,31.7,25.1,6.5,30.6
3 Apr,10.4,8.8,9.6,9.8,26.9,28.9,23.7,6.1,31.0
4 Apr,3.0,1.0,1.6,2.8,27.9,31.7,24.2,6.5,36.0
5 Apr,4.2,4.2,4.2,4.2,28.1,31.1,25.0,7.9,34.2
6 Apr,0.0,0.0,0.0,0.0,28.6,32.1,26.9,6.5,28.8
7 Apr,22.6,16.0,18.8,20.0,27.6,32.7,22.8,5.4,42.1
8 Apr,2.4,0.8,0.8,1.2,26.8,28.4,24.0,4.3,36.7
9 Apr,7.2,5.4,7.2,7.2,27.5,32.5,25.1,4.0,34.9
10 Apr,0.0,0.0,0.0,0.0,27.3,30.3,25.5,5.4,32.0
25 Apr,5.6,3.2,5.6,5.6,26.2,30.6,24.1,3.6,23.8
1 Mar,28.0,5.2,7.6,12.4,24.7,27.3,23.2,5.8,39.2
2 Mar,0.4,0.2,0.2,0.2,26.5,30.1,24.3,7.9,36.4
3 Mar,12.2,9.2,9.2,9.2,25.9,28.2,23.6,6.5,39.6
4 Mar,2.6,0.8,1.2,1.2,25.3,27.9,23.6,4.7,26.6
5 Mar,3.6,2.2,2.2,2.4,26.4,30.8,24.5,5.8,33.1
6 Mar,20.2,17.6,19.4,20.2,26.4,32.5,23.9,5.8,36.4
7 Mar,0.0,0.0,0.0,0.0,26.6,31.0,24.7,5.8,24.5
8 Mar,0.0,0.0,0.0,0.0,27.0,31.2,24.8,7.6,32.0
9 Mar,0.0,0.0,0.0,0.0,27.0,31.3,24.7,7.2,33.1
10 Mar,0.0,0.0,0.0,0.0,27.0,31.2,24.9,7.2,37.1
11 Mar,8.6,6.0,6.0,6.0,26.9,31.9,24.5,5.8,30.6
12 Mar,3.8,2.8,3.4,3.8,26.3,31.3,23.3,4.7,25.9
13 Mar,11.4,10.0,11.2,11.4,27.4,31.4,25.4,5.4,26.3
14 Mar,0.2,0.2,0.2,0.2,26.5,29.7,24.6,7.9,36.0
15 Mar,0.0,0.0,0.0,0.0,28.5,33.5,25.4,5.8,25.6
16 Mar,0.0,0.0,0.0,0.0,27.9,31.4,26.2,9.4,37.1
17 Mar,21.8,17.0,21.6,21.8,26.9,31.2,24.1,4.0,19.8
18 Mar,0.0,0.0,0.0,0.0,27.9,30.9,25.8,6.8,36.4
19 Mar,0.0,0.0,0.0,0.0,27.9,31.0,25.6,5.0,28.4
20 Mar,3.4,1.2,1.8,3.2,26.3,28.6,24.1,6.1,39.2
21 Mar,7.8,7.8,7.8,7.8,27.8,33.4,24.9,6.5,36.0
22 Mar,27.4,26.0,27.4,27.4,27.2,32.3,23.4,5.8,41.0
23 Mar,0.2,0.2,0.2,0.2,28.5,33.0,26.0,6.8,28.4
24 Mar,0.0,0.0,0.0,0.0,28.0,30.9,26.1,6.5,30.6
25 Mar,41.6,32.4,39.8,41.4,27.4,32.7,24.7,5.0,36.0
26 Mar,0.2,0.2,0.2,0.2,28.6,33.0,25.9,6.5,30.6
27 Mar,1.2,1.2,1.2,1.2,28.6,32.2,26.4,6.1,29.9
28 Mar,5.0,4.4,4.6,4.6,26.8,28.3,25.3,4.0,28.8
29 Mar,8.4,7.2,7.4,7.4,26.5,32.1,25.2,3.6,31.7
30 Mar,9.6,3.2,3.6,4.6,25.4,30.0,23.8,4.0,33.1
31 Mar,0.4,0.4,0.4,0.4,26.9,31.1,24.9,3.2,31.7
1 Feb,0.0,0.0,0.0,0.0,26.9,30.7,24.6,5.0,32.4
2 Feb,2.8,2.8,2.8,2.8,26.8,31.8,25.1,5.4,26.3
3 Feb,15.6,15.4,15.4,15.4,27.1,33.1,24.0,6.5,33.1
4 Feb,0.4,0.4,0.4,0.4,26.8,32.1,25.0,5.0,29.2
5 Feb,0.0,0.0,0.0,0.0,27.2,31.9,24.9,5.8,27.0
6 Feb,0.0,0.0,0.0,0.0,27.6,32.7,25.1,6.1,29.2
7 Feb,1.2,1.2,1.2,1.2,26.3,30.3,23.5,5.0,26.6
8 Feb,62.6,28.0,37.0,47.8,26.1,31.1,22.6,5.4,31.7
9 Feb,0.0,0.0,0.0,0.0,27.4,32.2,25.1,5.0,27.4
10 Feb,0.0,0.0,0.0,0.0,27.4,31.4,24.9,7.9,40.0
11 Feb,0.0,0.0,0.0,0.0,26.9,30.3,25.2,9.4,50.4
12 Feb,0.0,0.0,0.0,0.0,26.0,29.5,24.7,9.0,48.6
13 Feb,1.4,0.6,0.6,0.6,26.1,28.8,24.1,8.6,42.8
14 Feb,0.0,0.0,0.0,0.0,26.1,29.7,24.3,9.7,49.0
15 Feb,7.8,3.0,4.2,4.4,25.1,28.3,22.5,7.9,41.4
16 Feb,0.0,0.0,0.0,0.0,26.2,29.4,24.3,8.3,39.6
17 Feb,0.0,0.0,0.0,0.0,26.7,30.6,24.4,7.9,40.7
18 Feb,0.0,0.0,0.0,0.0,26.6,29.3,24.8,7.6,36.4
19 Feb,0.0,0.0,0.0,0.0,27.3,30.7,25.1,7.9,34.2
20 Feb,0.0,0.0,0.0,0.0,27.4,31.0,25.2,7.2,33.8
21 Feb,3.0,2.8,2.8,2.8,27.0,31.9,25.1,5.8,29.5
22 Feb,0.0,0.0,0.0,0.0,27.3,31.7,24.9,5.4,32.8
23 Feb,3.2,3.2,3.2,3.2,26.8,31.3,24.8,5.0,36.7
24 Feb,15.4,3.0,5.2,5.8,24.6,26.3,23.3,5.0,28.1
25 Feb,1.4,1.2,1.2,1.4,26.4,31.3,23.5,4.7,28.8
26 Feb,0.0,0.0,0.0,0.0,27.1,30.7,25.1,5.8,32.4
27 Feb,0.0,0.0,0.0,0.0,27.1,30.0,24.8,7.6,41.8
28 Feb,8.6,8.2,8.6,8.6,26.8,29.7,25.3,7.2,45.7
1 Jan,33.2,19.8,25.4,30.2,26.5,30.3,24.6,5.8,37.4
2 Jan,17.8,17.0,17.0,17.0,25.9,29.7,24.5,4.0,24.5
3 Jan,6.8,4.8,6.2,6.2,26.1,29.7,24.7,4.7,26.6
4 Jan,1.6,1.6,1.6,1.6,26.4,29.7,23.3,5.8,31.0
5 Jan,1.4,1.0,1.2,1.2,27.4,31.1,23.8,7.6,33.5
6 Jan,0.0,0.0,0.0,0.0,28.4,32.5,25.8,5.0,27.4
7 Jan,0.0,0.0,0.0,0.0,29.5,33.2,26.7,6.1,26.3
8 Jan,0.0,0.0,0.0,0.0,29.2,33.6,26.8,6.8,30.6
9 Jan,0.0,0.0,0.0,0.0,28.5,33.0,26.5,6.8,25.9
10 Jan,0.0,0.0,0.0,0.0,28.0,32.4,26.3,6.5,38.2
11 Jan,0.0,0.0,0.0,0.0,27.6,32.0,24.8,6.1,32.0
12 Jan,0.0,0.0,0.0,0.0,28.0,31.3,25.4,5.4,30.2
13 Jan,0.0,0.0,0.0,0.0,28.0,32.6,26.1,4.7,30.2
14 Jan,0.0,0.0,0.0,0.0,27.9,31.2,25.5,4.0,21.6
15 Jan,0.0,0.0,0.0,0.0,28.2,32.5,25.8,5.4,32.4
16 Jan,0.0,0.0,0.0,0.0,27.7,31.3,25.1,6.5,31.3
17 Jan,0.0,0.0,0.0,0.0,27.8,31.4,25.9,4.7,28.8
18 Jan,9.4,6.8,8.2,8.8,26.4,32.1,23.9,4.7,34.9
19 Jan,36.6,23.2,32.2,35.4,26.3,31.5,23.8,4.7,37.4
20 Jan,1.8,1.6,1.6,1.8,25.8,28.9,23.4,5.4,27.4
21 Jan,21.8,8.0,13.4,16.2,26.4,30.9,23.3,5.4,37.8
22 Jan,15.0,8.6,11.6,12.2,26.0,29.2,23.8,7.2,42.5
23 Jan,86.2,23.4,27.0,48.4,24.6,27.0,22.5,5.8,49.0
24 Jan,12.2,1.6,2.6,4.0,23.3,23.8,22.9,9.4,35.6
25 Jan,1.6,1.2,1.4,1.6,25.2,28.6,22.4,6.5,40.7
26 Jan,0.2,0.2,0.2,0.2,26.7,30.7,23.7,6.1,33.5
27 Jan,0.8,0.8,0.8,0.8,26.8,30.4,25.0,8.3,39.2
28 Jan,0.0,0.0,0.0,0.0,25.9,29.0,24.3,7.2,41.0
29 Jan,0.0,0.0,0.0,0.0,25.9,28.0,24.2,6.5,29.9
30 Jan,3.6,2.2,2.8,2.8,25.5,28.4,24.0,5.8,29.9
31 Jan,0.0,0.0,0.0,0.0,26.6,29.9,24.8,6.5,31.0
1 Dec,5.8,1.0,1.4,1.8,25.1,27.0,24.0,7.6,22.7
2 Dec,3.8,2.0,2.8,3.6,26.5,30.5,23.7,6.5,32.4
3 Dec,6.2,5.8,6.0,6.0,27.0,29.9,23.6,4.0,21.6
4 Dec,1.0,1.0,1.0,1.0,28.5,32.9,25.8,6.8,24.8
5 Dec,6.4,2.6,4.4,6.4,28.6,33.7,26.3,6.8,29.5
6 Dec,0.4,0.4,0.4,0.4,28.6,34.0,25.8,4.7,32.0
7 Dec,0.0,0.0,0.0,0.0,28.3,32.7,26.5,5.4,30.2
8 Dec,0.0,0.0,0.0,0.0,28.5,31.9,25.7,6.5,32.8
9 Dec,17.6,8.2,8.2,8.4,26.4,30.6,23.8,5.0,42.1
10 Dec,0.0,0.0,0.0,0.0,27.1,29.6,24.7,5.4,23.8
11 Dec,2.2,2.0,2.0,2.0,25.6,28.6,23.7,9.7,30.6
12 Dec,0.0,0.0,0.0,0.0,27.2,30.2,24.9,11.9,45.7
13 Dec,0.2,0.2,0.2,0.2,27.6,31.4,24.6,6.5,42.1
14 Dec,0.0,0.0,0.0,0.0,28.2,32.2,25.5,6.5,32.4
15 Dec,0.0,0.0,0.0,0.0,28.4,31.4,26.0,7.6,31.3
16 Dec,0.0,0.0,0.0,0.0,28.9,33.8,26.9,4.7,25.9
17 Dec,8.4,5.0,8.0,8.4,27.0,31.3,25.4,5.4,31.7
18 Dec,16.8,7.2,7.8,8.4,26.2,31.5,22.6,5.8,36.7
19 Dec,1.4,0.8,0.8,0.8,27.2,31.4,24.4,10.1,37.4
20 Dec,0.0,0.0,0.0,0.0,27.2,30.8,24.5,13.0,45.7
21 Dec,0.0,0.0,0.0,0.0,28.2,32.0,25.7,10.4,45.0
22 Dec,14.8,8.0,11.8,12.6,26.5,31.5,24.1,4.7,39.2
23 Dec,10.8,8.2,9.8,10.2,26.7,30.7,23.5,4.3,28.1
24 Dec,62.4,44.8,56.6,60.0,26.2,31.9,23.3,5.8,39.6
25 Dec,6.4,3.0,4.2,6.0,26.2,32.2,23.8,6.1,30.2
26 Dec,0.0,0.0,0.0,0.0,26.2,30.1,23.9,6.5,29.5
27 Dec,1.4,1.2,1.4,1.4,25.9,30.0,24.2,6.1,29.9
28 Dec,2.6,0.4,0.8,1.2,25.2,27.6,23.1,6.5,33.8
29 Dec,0.0,0.0,0.0,0.0,27.2,30.6,25.0,5.8,34.6
30 Dec,8.8,8.8,8.8,8.8,26.6,31.5,24.5,6.5,44.6
31 Dec,0.0,0.0,0.0,0.0,26.2,29.4,24.0,5.4,26.6
1 Aug,0.0,0.0,0.0,0.0,27.4,29.9,25.7,6.5,32.4
2 Aug,0.0,0.0,0.0,0.0,28.6,31.8,26.7,8.6,43.2
3 Aug,11.8,9.2,10.8,11.4,27.0,29.8,21.6,9.0,51.5
4 Aug,0.0,0.0,0.0,0.0,27.7,29.6,26.5,10.4,36.7
5 Aug,0.0,0.0,0.0,0.0,28.9,32.0,27.5,8.6,32.8
6 Aug,6.8,6.0,6.6,6.8,28.1,31.7,24.5,7.2,28.1
7 Aug,0.0,0.0,0.0,0.0,28.8,31.5,27.0,9.4,37.1
8 Aug,0.0,0.0,0.0,0.0,29.1,32.1,27.3,7.9,27.7
9 Aug,0.0,0.0,0.0,0.0,29.0,32.0,26.8,7.2,32.0
10 Aug,0.0,0.0,0.0,0.0,29.2,32.2,27.5,8.6,31.7
11 Aug,0.0,0.0,0.0,0.0,28.7,30.6,27.4,8.6,50.8
1 Jul,0.0,0.0,0.0,0.0,29.5,32.1,28.1,10.8,28.1
2 Jul,0.0,0.0,0.0,0.0,29.4,32.8,27.8,10.1,28.4
3 Jul,0.0,0.0,0.0,0.0,29.6,32.9,28.0,10.4,28.1
4 Jul,0.0,0.0,0.0,0.0,29.6,33.2,27.8,10.4,28.4
5 Jul,0.0,0.0,0.0,0.0,29.5,33.0,27.9,10.1,31.3
6 Jul,1.2,1.2,1.2,1.2,28.5,32.0,25.0,7.9,34.6
7 Jul,2.2,2.2,2.2,2.2,29.0,31.8,27.1,7.9,36.7
8 Jul,11.4,7.0,9.0,11.4,28.1,30.7,23.2,7.9,37.8
9 Jul,0.0,0.0,0.0,0.0,29.2,32.7,27.5,10.1,33.5
10 Jul,0.0,0.0,0.0,0.0,29.3,32.4,28.0,8.3,32.0
11 Jul,21.8,12.6,21.0,21.2,27.5,29.6,23.6,7.2,41.8
12 Jul,0.0,0.0,0.0,0.0,29.4,33.0,27.4,8.3,30.6
13 Jul,1.6,1.2,1.2,1.2,27.4,29.7,24.4,6.5,47.9
14 Jul,1.2,1.0,1.0,1.0,26.8,28.8,24.0,6.1,40.7
15 Jul,2.2,2.0,2.2,2.2,26.7,30.2,24.3,5.0,29.5
16 Jul,0.0,0.0,0.0,0.0,28.2,31.8,25.9,4.7,25.6
17 Jul,13.8,8.6,13.8,13.8,27.0,31.8,24.3,4.3,29.9
18 Jul,0.8,0.2,0.4,0.6,27.1,31.0,25.4,5.0,28.4
19 Jul,3.2,1.2,2.2,3.2,27.1,30.9,23.3,7.6,34.2
20 Jul,40.0,15.6,21.2,27.6,26.6,29.8,22.9,5.0,38.9
21 Jul,28.0,14.6,17.4,20.2,26.7,30.4,22.7,5.0,33.5
22 Jul,8.0,4.2,5.4,5.4,25.6,27.5,23.7,4.7,30.2
23 Jul,9.2,8.4,8.4,8.4,26.6,30.8,23.8,6.8,33.1
24 Jul,10.8,8.6,9.4,9.6,26.6,29.6,23.8,5.4,40.3
25 Jul,0.2,0.2,0.2,0.2,26.9,28.4,25.4,5.8,25.6
26 Jul,2.2,0.8,0.8,1.2,26.0,28.9,22.2,4.7,41.0
27 Jul,0.0,0.0,0.0,0.0,28.1,32.4,25.1,6.1,27.0
